product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Vaseline Healthy Bright Vitamin Body Serum Soft Glow 180ml,https://storage.googleapis.com/indo-astro/Vaseline_Healthy_Bright_Vitamin_Body_Serum_Soft_Glow_180ml_1655192259424_PRODUCT_240x240.png,33100,,5,649.344,184
Vaseline Healthy Bright Gluta Hyaluron Niacinamide Serum Lotion Dewy Radiance 200ml,https://storage.googleapis.com/indo-astro/Vaseline_Healthy_Bright_Gluta_Hyaluron_Niacinamide_Serum_Lotion_Dewy_Radiance_200ml_1655192229499_PRODUCT_240x240.png,52900,47400,4,726.8,200
NIVEA Body Lotion Extra White SPF15 200ml,https://storage.googleapis.com/indo-astro/NIVEA_Body_Lotion_Extra_White_SPF15_200mL_1649383735463_PRODUCT_240x240.png,30400,,12,1000,200
NIVEA Extra White Body Serum Care & Protect 70ml,https://storage.googleapis.com/indo-astro/NIVEA_Extra_White_Body_Serum_Care_&_Protect_70mL_1649383925049_PRODUCT_240x240.png,19100,,2,1000,70
NIVEA Body Intensive Lotion 200ml,https://storage.googleapis.com/indo-astro/NIVEA_Body_Intensive_Lotion_200mL_1649383678622_PRODUCT_240x240.png,25000,,1,1000,200
NIVEA Body Lotion Daily Protection Sun 100ml,https://storage.googleapis.com/indo-astro/NIVEA_Body_Lotion_Daily_Protection_Sun_100mL_1649383643440_PRODUCT_240x240.png,29900,,7,1000,100
Scarlett Whitening Charming Body Lotion 300ml,https://storage.googleapis.com/indo-astro/Scarlett_Whitening_Charming_Body_Lotion_300ml_240x240.png,75800,,13,833,300
Vaseline Repairing Petroleum Jelly - 50ml,https://storage.googleapis.com/indo-astro/Vaseline_Repairing_Petroleum_Jelly_-_50ml_240x240.png,27600,,3,120,55
Garnier Serum Mask Hydrabomb Pomegranate Masker Wajah/Facial Mask,https://storage.googleapis.com/indo-astro/Garnier_Serum_Mask_Hydrabomb_Pomegranate_Masker_Wajah_Facial_Mask_240x240.png,22100,,2,234,200
Garnier Serum Mask Hydrabomb Green Tea Masker Wajah/Facial Mask,https://storage.googleapis.com/indo-astro/Garnier_Serum_Mask_Hydrabomb_Green_Tea_Masker_Wajah_Facial_Mask_240x240.png,22000,,3,234,200
Garnier Serum Mask Light Complete Masker Wajah/Facial Mask,https://storage.googleapis.com/indo-astro/Garnier_Serum_Mask_Light_Complete_Masker_Wajah_Facial_Mask_240x240.png,22100,,11,234,200
Garnier Serum Mask Ageless White with Grape Seed Extracts & Hyaluronic Acid Masker Wajah/Facial Mask,https://storage.googleapis.com/indo-astro/Garnier_Serum_Mask_Ageless_White_with_Grape_Seed_Extracts_&_Hyaluronic_Acid_Masker_Wajah_Facial_Mask_240x240.png,22300,,8,234,200
Ariul 7 Days Mask Facial Tea Tree + M [new]/Masker Wajah,https://storage.googleapis.com/indo-astro/Ariul_7_Days_Mask_Facial_Tea_Tree_+_M_[new]_Masker_Wajah_240x240.png,18600,,6,63,20
Rojukiss Premium Bright Pore Expert 5x Serum Mask Sachet Masker Wajah/Facial Mask 25ml,https://storage.googleapis.com/indo-astro/Rojukiss_Premium_Bright_Pore_Expert_5x_Serum_Mask_Sachet_Masker_Wajah_Facial_Mask_25ml_240x240.png,20100,,1,120,25
Garnier Serum Mask Pure Charcoal Black Algae Masker Wajah/Facial Mask,https://storage.googleapis.com/indo-astro/Garnier_Serum_Mask_Pure_Charcoal_Black_Algae_Masker_Wajah_Facial_Mask_240x240.png,22000,,7,234,200
Garnier Serum Mask Hydrabomb Sakura White Masker Wajah/Facial Mask,https://storage.googleapis.com/indo-astro/Garnier_Serum_Mask_Hydrabomb_Sakura_White_Masker_Wajah_Facial_Mask_240x240.png,22000,,10,234,200
Wardah Eyeliner Pencil Black 1.14gr,https://storage.googleapis.com/indo-astro/Wardah_Eyeliner_Pencil_Black_1.14gr_240x240.png,40900,,1,1000,5
Maybelline Eyebrow Pencil Define And Blend Mechanic - Natural Brown,https://storage.googleapis.com/indo-astro/Maybelline_Eyebrow_Pencil_Define_And_Blend_Mechanic_-_Natural_Brown_240x240.png,56600,,3,170,200
Emina Glossy Stain Lip Tint Autumn Bell 3gr,https://storage.googleapis.com/indo-astro/Emina_Glossy_Stain_Lip_Tint_Autumn_Bell_3gr_1648803421148_PRODUCT_240x240.png,47700,,10,1000,3
Emina Creamytint Lip Tint Brick Town 3.6gr,https://storage.googleapis.com/indo-astro/Emina_Creamytint_Lip_Tint_Brick_Town_3.6gr_240x240.png,37100,,3,1000,4
Maybelline Hypersharp Liner Liquid Pen Waterproof Eyeliner,https://storage.googleapis.com/indo-astro/Maybelline_Hypersharp_Liner_Liquid_Pen_Waterproof_Eyeliner_240x240.png,99900,,3,1000,5
Maybelline The Falsies Lash Lift Waterproof Mascara - Black,https://storage.googleapis.com/indo-astro/Maybelline_The_Falsies_Lash_Lift_Waterproof_Mascara_-_Black_240x240.png,115500,,4,44,31
Maybelline Superstay Liquid Matte Lipstick - Assertive,https://storage.googleapis.com/indo-astro/Maybelline_Superstay_Liquid_Matte_Lipstick_-_Assertive_240x240.png,89900,,3,1000,5
Wardah EyeXpert Aqua Lash Mascara Reguler 6gr,https://storage.googleapis.com/indo-astro/Wardah_EyeXpert_Aqua_Lash_Mascara_Reguler_6gr_240x240.png,48100,,3,26,6
Wardah Everyday BB Cream Natural 15ml,https://storage.googleapis.com/indo-astro/Wardah_Everyday_BB_Cream_Natural_15ml_240x240.png,29000,,1,120,20
Maybelline Volum Express Hyper Curl Mascara Waterproof - Black,https://storage.googleapis.com/indo-astro/Maybelline_Volum_Express_Hyper_Curl_Mascara_Waterproof_-_Black_240x240.png,73000,,7,44,31
Bioderma Sensibio Micellar Water 100ml,https://storage.googleapis.com/indo-astro/Bioderma_Sensibio_Micellar_Water_100ml_240x240.png,132000,,5,250,130
NIVEA Sparkling Bright Foam 100ml,https://storage.googleapis.com/indo-astro/NIVEA_Sparkling_Bright_Foam_100ml_1649399805408_PRODUCT_240x240.png,25800,,11,1000,100
NIVEA MicellAir Pearl And White 125ml,https://storage.googleapis.com/indo-astro/NIVEA_MicellAir_Pearl_And_White_125ml_1649399780651_PRODUCT_240x240.png,32200,,20,1000,125
NIVEA MicellAir Oil & Acne Care 125ml,https://storage.googleapis.com/indo-astro/NIVEA_MicellAir_Oil_&_Acne_Care_125ml_1649399739944_PRODUCT_240x240.png,32200,,26,1000,125
Emina Bright Stuff for Acne Prone Skin Face Wash 100ml,https://storage.googleapis.com/indo-astro/Emina_Bright_Stuff_for_Acne_Prone_Skin_Face_Wash_100ml_240x240.png,26200,,13,1000,100
COSRX Salicylic Acid Daily Gentle Cleanser 150ml/Sabun Muka,https://storage.googleapis.com/indo-astro/COSRX_Salicylic_Acid_Daily_Gentle_Cleanser_150ml_Sabun_Muka_240x240.png,136500,,5,1000,150
COSRX Low pH Good Morning Gel Cleanser 150ml/Sabun Muka,https://storage.googleapis.com/indo-astro/COSRX_Low_pH_Good_Morning_Gel_Cleanser_150ml_Sabun_Muka_240x240.png,136500,,4,1000,150
Garnier Micellar Water Blue 125ml,https://storage.googleapis.com/indo-astro/Garnier_Micellar_Water_Blue_125ml_240x240.png,30300,,3,392,175
Garnier Pure Active Acne And Oil Clearing Foam 100ml,https://storage.googleapis.com/indo-astro/Garnier_Pure_Active_Acne_And_Oil_Clearing_Foam_100ml_240x240.png,29100,,12,1000,150
Wardah Facial Wash Crystal Secret with AHA PHA 100ml/Sabun Muka,https://storage.googleapis.com/indo-astro/Wardah_Facial_Wash_Crystal_Secret_with_AHA_PHA_100ml_Sabun_Muka_240x240.png,30700,,8,1000,100
Garnier Sakura Glow White Cleanser Face Wash 100ml/Sabun Muka,https://storage.googleapis.com/indo-astro/Garnier_Sakura_Glow_White_Cleanser_Face_Wash_100ml_Sabun_Muka_240x240.png,29900,,6,306,150
L'Oreal Paris Lip And Eye Makeup Remover 125ml,https://storage.googleapis.com/indo-astro/L'Oreal_Paris_Lip_And_Eye_Makeup_Remover_125ml_240x240.png,126400,,11,312,150
Garnier Micellar Water Pink 125ml,https://storage.googleapis.com/indo-astro/Garnier_Micellar_Water_Pink_125ml_240x240.png,31900,,5,392,175
Garnier Light Complete Super UV SPF50+ Sunscreen 30ml Matte Finish,https://storage.googleapis.com/indo-astro/Garnier_Light_Complete_Super_UV_SPF50+_Sunscreen_30ml_Matte_Finish_240x240.png,64000,,5,72,100
BIORE UV AQUA Rich Watery Essence SPF50 50gr/Sunscreen,https://storage.googleapis.com/indo-astro/BIORE_UV_AQUA_Rich_Watery_Essence_SPF50_50gr_Sunscreen_1650598475044_PRODUCT_240x240.png,121000,,4,1000,80
NIVEA SUN Face Serum Instant Aura 30ml,https://storage.googleapis.com/indo-astro/NIVEA_SUN_Face_Serum_Instant_Aura_30mL_1649383658521_PRODUCT_240x240.png,51500,,11,1000,30
Somethinc Glowing Up Sunscreen Stick SPF 50 PA+++ 15gr,https://storage.googleapis.com/indo-astro/Somethinc_Glowing_Up_Sunscreen_Stick_SPF_50_PA+++_15gr_240x240.png,126300,,15,1000,15
Emina Sun Battle SPF 30 PA+++ 60ml,https://storage.googleapis.com/indo-astro/Emina_Sun_Battle_SPF_30_PA+++_60ml_1648802866014_PRODUCT_240x240.png,28500,,13,1000,60
Medisoft Cotton Ball 120/Bola Kapas Bulat Bayi,https://storage.googleapis.com/indo-astro/Medisoft_Cotton_Ball_120_Bola_Kapas_Bulat_Bayi_240x240.png,11100,,11,1000,130
Trendy Pinset Penjepit Tweezers,https://storage.googleapis.com/indo-astro/Trendy_Pinset_Penjepit_Tweezers_1649049031365_PRODUCT_240x240.png,31300,,8,1000,50
Trendy Eyelash Curler TD719,https://storage.googleapis.com/indo-astro/Trendy_Eyelash_Curler_TD719_PRODUCT_1645101359944_240x240.png,28000,,19,1000,100
Trendy Nail Clipper TD547PC,https://storage.googleapis.com/indo-astro/Trendy_Nail_Clipper_TD547PC_PRODUCT_1645101370284_240x240.png,19400,,4,1000,100
Trendy Cosmectic Puff TD616,https://storage.googleapis.com/indo-astro/Trendy_Cosmectic_Puff_TD616_PRODUCT_1645101381910_240x240.png,13400,,15,1000,100
Trendy Hair Comb HCL131,https://storage.googleapis.com/indo-astro/Trendy_Hair_Comb_HCL131_PRODUCT_1645101391171_240x240.png,13400,,15,1000,100
Lavana Mesh Sponge LAV0101 50gr,https://storage.googleapis.com/indo-astro/Lavana_Mesh_Sponge_LAV0101_50gr_240x240.png,21200,,16,1000,50
Selection Facial Cotton Round Isi 80 Pcs/Kapas Bulat,https://storage.googleapis.com/indo-astro/Selection_Facial_Cotton_Round_Isi_80_Pcs_Kapas_Bulat_240x240.png,17600,,2,1127,100
Selection Facial Cotton Kapas 75gr,https://storage.googleapis.com/indo-astro/Selection_Facial_Cotton_Kapas_75gr_240x240.png,14700,,4,425,100
Selection Cotton Bud Kapas isi 100 Pcs,https://storage.googleapis.com/indo-astro/Selection_Cotton_Bud_Kapas_isi_100_Pcs_240x240.png,5200,,0,220,120
